region,postcode_sector,month,avg_price,volume
East Midlands,DE7 4,8,253000,16
East Midlands,DE7 5,8,169000,18
East Midlands,DE7 6,8,274000,9
East Midlands,DE7 8,8,162000,8
East Midlands,DE7 9,8,257000,4
East Midlands,DE72 2,8,356000,2
East Midlands,DE72 3,8,384000,24
East Midlands,DE73 5,8,313000,10
East Midlands,DE73 6,8,235000,7
East Midlands,DE73 7,8,285000,2
East Midlands,DE73 8,8,314000,9
East Midlands,DE74 2,8,251000,12
East Midlands,DE75 7,8,199000,22
East Midlands,DN1 2,8,92000,8
East Midlands,DN10 4,8,321000,11
East Midlands,DN10 5,8,406000,1
East Midlands,DN10 6,8,272000,6
East Midlands,DN11 0,8,166000,17
East Midlands,DN11 8,8,196000,13
East Midlands,DN11 9,8,458000,9
East Midlands,DN12 1,8,97000,9
East Midlands,DN12 2,8,139000,9
East Midlands,DN12 3,8,157000,3
East Midlands,DN12 4,8,289000,2
East Midlands,DN14 0,8,234000,10
East Midlands,DN14 5,8,128000,7
East Midlands,DN14 6,8,144000,20
East Midlands,DN14 7,8,265000,7
East Midlands,DN14 8,8,271000,5
East Midlands,DN14 9,8,323000,15
East Midlands,DN15 0,8,222000,3
East Midlands,DN15 6,8,83000,4
East Midlands,DN15 7,8,138000,11
East Midlands,DN15 8,8,153000,12
East Midlands,DN15 9,8,205000,9
East Midlands,DN16 1,8,113000,5
East Midlands,DN16 2,8,131000,7
East Midlands,DN16 3,8,182000,25
East Midlands,DN17 1,8,170000,16
East Midlands,DN17 2,8,213000,16
East Midlands,DN17 3,8,236000,9
East Midlands,DN17 4,8,196000,8
East Midlands,DN18 5,8,158000,16
East Midlands,DN18 6,8,185000,2
East Midlands,DN19 7,8,238000,7
East Midlands,DN2 4,8,197000,7
East Midlands,DN2 5,8,175000,6
East Midlands,DN2 6,8,143000,7
East Midlands,DN20 0,8,195000,6
East Midlands,DN20 8,8,248000,8
East Midlands,DN20 9,8,240000,5
East Midlands,DN21 1,8,128000,18
East Midlands,DN21 2,8,81000,10
East Midlands,DN21 3,8,284000,5
East Midlands,DN21 4,8,226000,9
East Midlands,DN21 5,8,227000,9
East Midlands,DN22 0,8,180000,5
East Midlands,DN22 6,8,191000,11
East Midlands,DN22 7,8,180000,21
East Midlands,DN22 8,8,291000,3
East Midlands,DN22 9,8,303000,5
East Midlands,DN3 1,8,194000,7
East Midlands,DN3 2,8,146000,16
East Midlands,DN3 3,8,209000,12
East Midlands,DN31 1,8,79000,2
East Midlands,DN31 2,8,82000,14
East Midlands,DN32 0,8,183000,8
East Midlands,DN32 7,8,65000,4
East Midlands,DN32 8,8,151000,10
East Midlands,DN32 9,8,71000,9
East Midlands,DN33 1,8,102000,4
East Midlands,DN33 2,8,260000,5
East Midlands,DN33 3,8,192000,12
East Midlands,DN34 4,8,185000,5
East Midlands,DN34 5,8,122000,7
East Midlands,DN35 0,8,202000,6
East Midlands,DN35 7,8,116000,17
East Midlands,DN35 8,8,134000,17
East Midlands,DN35 9,8,226000,8
East Midlands,DN36 4,8,269000,17
East Midlands,DN36 5,8,267000,9
East Midlands,DN37 0,8,212000,8
East Midlands,DN37 7,8,219000,5
East Midlands,DN37 9,8,197000,4
East Midlands,DN38 6,8,185000,1
East Midlands,DN39 6,8,261000,3
East Midlands,DN4 0,8,125000,19
East Midlands,DN4 5,8,154000,10
East Midlands,DN4 6,8,198000,18
East Midlands,DN4 7,8,192000,8
East Midlands,DN4 8,8,137000,12
East Midlands,DN4 9,8,179000,13
East Midlands,DN40 1,8,119000,4
East Midlands,DN40 2,8,190000,5
East Midlands,DN40 3,8,307000,2
East Midlands,DN41 8,8,256000,3
East Midlands,DN5 0,8,156000,9
East Midlands,DN5 7,8,328000,15
East Midlands,DN5 8,8,207000,17
East Midlands,DN5 9,8,155000,14
East Midlands,DN6 0,8,125000,5
East Midlands,DN6 7,8,166000,14
East Midlands,DN6 8,8,141000,8
East Midlands,DN6 9,8,210000,4
East Midlands,DN7 4,8,209000,11
East Midlands,DN7 5,8,172000,6
East Midlands,DN7 6,8,222000,12
East Midlands,DN8 4,8,136000,7
East Midlands,DN8 5,8,142000,11
East Midlands,DN9 1,8,199000,9
East Midlands,DN9 2,8,331000,5
East Midlands,DN9 3,8,192000,11
East Midlands,LE1 1,8,104000,3
East Midlands,LE1 2,8,141000,1
East Midlands,LE1 3,8,70000,1
East Midlands,LE1 4,8,150000,1
East Midlands,LE1 5,8,175000,1
East Midlands,LE1 6,8,182000,3
East Midlands,LE10 0,8,228000,38
East Midlands,LE10 1,8,232000,12
East Midlands,LE10 2,8,327000,27
East Midlands,LE10 3,8,466000,3
East Midlands,LE11 1,8,181000,6
East Midlands,LE11 2,8,256000,19
East Midlands,LE11 3,8,385000,13
East Midlands,LE11 4,8,214000,13
East Midlands,LE11 5,8,195000,10
East Midlands,LE12 5,8,312000,6
East Midlands,LE12 6,8,338000,20
East Midlands,LE12 7,8,266000,23
East Midlands,LE12 8,8,276000,16
East Midlands,LE12 9,8,266000,17
East Midlands,LE13 0,8,233000,13
East Midlands,LE13 1,8,228000,16
East Midlands,LE14 2,8,529000,4
East Midlands,LE14 3,8,302000,4
East Midlands,LE14 4,8,553000,6
East Midlands,LE15 6,8,382000,19
East Midlands,LE15 7,8,382000,11
East Midlands,LE15 8,8,1042000,5
East Midlands,LE15 9,8,501000,9
East Midlands,LE16 7,8,386000,16
East Midlands,LE16 8,8,656000,9
East Midlands,LE16 9,8,412000,16
East Midlands,LE17 4,8,324000,15
East Midlands,LE17 5,8,599000,6
East Midlands,LE17 6,8,364000,5
East Midlands,LE18 1,8,279000,8
East Midlands,LE18 2,8,229000,9
East Midlands,LE18 3,8,244000,8
East Midlands,LE18 4,8,163000,6
East Midlands,LE19 2,8,252000,5
East Midlands,LE19 3,8,290000,5
East Midlands,LE19 4,8,308000,9
East Midlands,LE2 0,8,230000,4
East Midlands,LE2 1,8,304000,12
East Midlands,LE2 2,8,163000,5
East Midlands,LE2 3,8,349000,6
East Midlands,LE2 4,8,508000,10
East Midlands,LE2 5,8,224000,10
East Midlands,LE2 6,8,237000,6
East Midlands,LE2 7,8,176000,3
East Midlands,LE2 8,8,215000,19
East Midlands,LE2 9,8,236000,13
East Midlands,LE3 0,8,214000,11
East Midlands,LE3 1,8,189000,7
East Midlands,LE3 2,8,239000,12
East Midlands,LE3 3,8,280000,18
East Midlands,LE3 5,8,174000,9
East Midlands,LE3 6,8,255000,8
East Midlands,LE3 8,8,307000,13
East Midlands,LE3 9,8,222000,9
East Midlands,LE4 0,8,204000,9
East Midlands,LE4 1,8,166000,3
East Midlands,LE4 2,8,219000,5
East Midlands,LE4 3,8,291000,9
East Midlands,LE4 4,8,340000,5
East Midlands,LE4 5,8,240000,3
East Midlands,LE4 6,8,287000,6
East Midlands,LE4 7,8,229000,3
East Midlands,LE4 8,8,250000,10
East Midlands,LE4 9,8,260000,10
East Midlands,LE5 0,8,359000,2
East Midlands,LE5 1,8,286000,9
East Midlands,LE5 2,8,168000,4
East Midlands,LE5 3,8,203000,3
East Midlands,LE5 4,8,212000,5
East Midlands,LE5 5,8,291000,9
East Midlands,LE5 6,8,378000,8
East Midlands,LE6 0,8,244000,14
East Midlands,LE65 1,8,418000,7
East Midlands,LE65 2,8,313000,13
East Midlands,LE67 1,8,206000,8
East Midlands,LE67 2,8,299000,18
East Midlands,LE67 3,8,172000,14
East Midlands,LE67 4,8,259000,13
East Midlands,LE67 5,8,227000,15
East Midlands,LE67 6,8,215000,10
East Midlands,LE67 8,8,222000,6
East Midlands,LE67 9,8,250000,9
East Midlands,LE7 1,8,255000,2
East Midlands,LE7 2,8,264000,14
East Midlands,LE7 3,8,354000,8
East Midlands,LE7 4,8,309000,3
East Midlands,LE7 7,8,293000,21
East Midlands,LE7 9,8,518000,10
East Midlands,LE8 0,8,487000,10
East Midlands,LE8 4,8,270000,6
East Midlands,LE8 5,8,415000,9
East Midlands,LE8 6,8,261000,3
East Midlands,LE8 8,8,236000,5
East Midlands,LE8 9,8,440000,5
East Midlands,LE9 1,8,333000,5
East Midlands,LE9 2,8,299000,5
East Midlands,LE9 3,8,280000,6
East Midlands,LE9 4,8,296000,10
East Midlands,LE9 6,8,306000,8
East Midlands,LE9 7,8,321000,8
East Midlands,LE9 8,8,205000,18
East Midlands,LE9 9,8,260000,6
East Midlands,LN1 1,8,193000,16
East Midlands,LN1 2,8,348000,20
East Midlands,LN1 3,8,200000,11
East Midlands,LN10 6,8,348000,8
East Midlands,LN11 0,8,189000,4
East Midlands,LN11 7,8,260000,4
East Midlands,LN11 8,8,331000,5
East Midlands,LN11 9,8,119000,3
East Midlands,LN12 1,8,172000,6
East Midlands,LN12 2,8,223000,13
East Midlands,LN13 0,8,310000,1
East Midlands,LN13 9,8,298000,4
East Midlands,LN2 1,8,586000,5
East Midlands,LN2 2,8,166000,6
East Midlands,LN2 3,8,352000,12
East Midlands,LN2 4,8,224000,22
East Midlands,LN2 5,8,142000,8
East Midlands,LN3 4,8,235000,1
East Midlands,LN3 5,8,310000,4
East Midlands,LN4 1,8,224000,13
East Midlands,LN4 2,8,304000,9
East Midlands,LN4 3,8,246000,8
East Midlands,LN4 4,8,236000,12
East Midlands,LN5 0,8,400000,11
East Midlands,LN5 7,8,151000,10
East Midlands,LN5 8,8,167000,18
East Midlands,LN5 9,8,239000,6
East Midlands,LN6 0,8,210000,9
East Midlands,LN6 3,8,202000,3
East Midlands,LN6 5,8,224000,2
East Midlands,LN6 7,8,200000,10
East Midlands,LN6 8,8,237000,10
East Midlands,LN6 9,8,229000,16
East Midlands,LN7 6,8,250000,5
East Midlands,LN8 2,8,344000,3
East Midlands,LN8 3,8,249000,15
East Midlands,LN8 5,8,245000,2
East Midlands,LN8 6,8,202000,4
East Midlands,LN9 5,8,225000,14
East Midlands,LN9 6,8,225000,7
East Midlands,NG1 1,8,185000,4
East Midlands,NG1 3,8,84000,1
East Midlands,NG1 4,8,227000,1
East Midlands,NG1 6,8,395000,1
East Midlands,NG10 1,8,170000,17
East Midlands,NG10 2,8,215000,5
East Midlands,NG10 3,8,244000,14
East Midlands,NG10 4,8,221000,16
East Midlands,NG10 5,8,216000,13
East Midlands,NG11 0,8,419000,4
East Midlands,NG11 6,8,362000,15
East Midlands,NG11 7,8,318000,4
East Midlands,NG11 8,8,178000,8
East Midlands,NG11 9,8,197000,6
East Midlands,NG12 1,8,280000,4
East Midlands,NG12 2,8,390000,6
East Midlands,NG12 3,8,296000,14
East Midlands,NG12 4,8,740000,10
East Midlands,NG12 5,8,280000,6
East Midlands,NG13 0,8,319000,7
East Midlands,NG13 8,8,353000,17
East Midlands,NG13 9,8,354000,5
East Midlands,NG14 5,8,436000,7
East Midlands,NG14 6,8,286000,8
East Midlands,NG14 7,8,936000,4
East Midlands,NG15 0,8,268000,3
East Midlands,NG15 6,8,261000,16
East Midlands,NG15 7,8,183000,21
East Midlands,NG15 8,8,291000,12
East Midlands,NG15 9,8,426000,9
East Midlands,NG16 1,8,296000,7
East Midlands,NG16 2,8,229000,21
East Midlands,NG16 3,8,170000,17
East Midlands,NG16 4,8,164000,11
East Midlands,NG16 5,8,194000,11
East Midlands,NG16 6,8,180000,11
East Midlands,NG17 1,8,227000,3
East Midlands,NG17 2,8,178000,15
East Midlands,NG17 3,8,153000,3
East Midlands,NG17 4,8,111000,5
East Midlands,NG17 5,8,151000,7
East Midlands,NG17 7,8,169000,9
East Midlands,NG17 8,8,179000,15
East Midlands,NG17 9,8,201000,5
East Midlands,NG18 1,8,101000,1
East Midlands,NG18 2,8,145000,14
East Midlands,NG18 3,8,167000,8
East Midlands,NG18 4,8,249000,27
East Midlands,NG18 5,8,145000,9
East Midlands,NG18 6,8,175000,1
East Midlands,NG19 0,8,145000,10
East Midlands,NG19 6,8,187000,12
East Midlands,NG19 7,8,190000,16
East Midlands,NG19 8,8,193000,5
East Midlands,NG19 9,8,171000,11
East Midlands,NG2 1,8,190000,3
East Midlands,NG2 2,8,322000,4
East Midlands,NG2 3,8,166000,3
East Midlands,NG2 4,8,175000,19
East Midlands,NG2 5,8,376000,7
East Midlands,NG2 6,8,412000,16
East Midlands,NG2 7,8,390000,16
East Midlands,NG20 0,8,208000,8
East Midlands,NG20 8,8,140000,9
East Midlands,NG20 9,8,150000,5
East Midlands,NG21 0,8,197000,14
East Midlands,NG21 9,8,192000,12
East Midlands,NG22 0,8,265000,7
East Midlands,NG22 8,8,354000,12
East Midlands,NG22 9,8,176000,16
East Midlands,NG23 5,8,412000,10
East Midlands,NG23 6,8,308000,5
East Midlands,NG23 7,8,246000,4
East Midlands,NG24 1,8,211000,10
East Midlands,NG24 2,8,273000,11
East Midlands,NG24 3,8,200000,16
East Midlands,NG24 4,8,198000,16
East Midlands,NG24 5,8,235000,2
East Midlands,NG25 0,8,604000,13
East Midlands,NG3 1,8,175000,2
East Midlands,NG3 2,8,144000,4
East Midlands,NG3 3,8,217000,4
East Midlands,NG3 4,8,625000,1
East Midlands,NG3 5,8,181000,11
East Midlands,NG3 6,8,293000,10
East Midlands,NG3 7,8,181000,5
East Midlands,NG31 6,8,116000,5
East Midlands,NG31 7,8,189000,18
East Midlands,NG31 8,8,250000,29
East Midlands,NG31 9,8,268000,13
East Midlands,NG32 1,8,312000,5
East Midlands,NG32 2,8,370000,6
East Midlands,NG32 3,8,481000,4
East Midlands,NG33 4,8,374000,7
East Midlands,NG33 5,8,245000,2
East Midlands,NG34 0,8,342000,5
East Midlands,NG34 7,8,242000,20
East Midlands,NG34 8,8,241000,11
East Midlands,NG34 9,8,254000,9
East Midlands,NG4 1,8,214000,8
East Midlands,NG4 2,8,193000,12
East Midlands,NG4 3,8,277000,8
East Midlands,NG4 4,8,212000,14
