region,postcode_sector,month,avg_price,volume
East England,PE1 1,12,116000,1
East England,PE1 2,12,145000,6
East England,PE1 3,12,210000,6
East England,PE1 4,12,242000,7
East England,PE1 5,12,140000,1
East England,PE10 0,12,306000,5
East England,PE10 9,12,280000,8
East England,PE11 1,12,197000,5
East England,PE11 2,12,181000,9
East England,PE11 3,12,289000,5
East England,PE11 4,12,314000,6
East England,PE12 0,12,225000,2
East England,PE12 6,12,249000,8
East England,PE12 7,12,206000,11
East England,PE12 8,12,204000,4
East England,PE12 9,12,272000,13
East England,PE13 1,12,489000,3
East England,PE13 2,12,154000,7
East England,PE13 3,12,124000,5
East England,PE13 4,12,301000,7
East England,PE14 0,12,210000,2
East England,PE14 7,12,385000,3
East England,PE14 8,12,167000,1
East England,PE14 9,12,280000,2
East England,PE15 0,12,295000,4
East England,PE15 8,12,223000,8
East England,PE15 9,12,217000,5
East England,PE16 6,12,243000,8
East England,PE19 1,12,458000,4
East England,PE19 2,12,280000,9
East England,PE19 5,12,337000,3
East England,PE19 6,12,438000,5
East England,PE19 7,12,477000,3
East England,PE19 8,12,319000,3
East England,PE2 5,12,195000,2
East England,PE2 6,12,402000,2
East England,PE2 8,12,249000,7
East England,PE2 9,12,191000,6
East England,PE20 1,12,346000,3
East England,PE20 2,12,295000,1
East England,PE20 3,12,238000,3
East England,PE21 0,12,83000,1
East England,PE21 6,12,162000,1
East England,PE21 7,12,223000,8
East England,PE21 8,12,133000,3
East England,PE21 9,12,169000,9
East England,PE22 0,12,275000,6
East England,PE22 7,12,185000,1
East England,PE22 8,12,220000,1
East England,PE22 9,12,244000,2
East England,PE23 4,12,319000,3
East England,PE23 5,12,166000,4
East England,PE24 4,12,166000,2
East England,PE24 5,12,198000,6
East England,PE25 1,12,141000,2
East England,PE25 2,12,169000,5
East England,PE25 3,12,176000,2
East England,PE26 1,12,284000,4
East England,PE26 2,12,272000,2
East England,PE27 3,12,260000,1
East England,PE27 5,12,287000,3
East England,PE27 6,12,350000,1
East England,PE28 2,12,264000,5
East England,PE28 3,12,421000,4
East England,PE28 4,12,332000,3
East England,PE28 5,12,225000,2
East England,PE28 9,12,298000,3
East England,PE29 1,12,340000,6
East England,PE29 2,12,450000,3
East England,PE29 3,12,165000,2
East England,PE29 6,12,348000,2
East England,PE29 7,12,222000,2
East England,PE3 6,12,165000,1
East England,PE3 7,12,231000,1
East England,PE3 8,12,201000,2
East England,PE3 9,12,277000,5
East England,PE30 1,12,112000,3
East England,PE30 2,12,174000,6
East England,PE30 3,12,247000,7
East England,PE30 4,12,191000,6
East England,PE30 5,12,177000,5
East England,PE31 6,12,426000,7
East England,PE31 7,12,244000,8
East England,PE31 8,12,415000,4
East England,PE32 1,12,382000,8
East England,PE32 2,12,442000,4
East England,PE33 0,12,251000,6
East England,PE33 9,12,198000,4
East England,PE34 3,12,237000,5
East England,PE34 4,12,271000,5
East England,PE36 5,12,421000,8
East England,PE36 6,12,646000,3
East England,PE37 7,12,224000,6
East England,PE37 8,12,313000,6
East England,PE38 0,12,176000,2
East England,PE38 9,12,253000,7
East England,PE4 5,12,91000,2
East England,PE4 6,12,290000,2
East England,PE4 7,12,200000,7
East England,PE6 0,12,193000,4
East England,PE6 7,12,326000,4
East England,PE6 8,12,237000,5
East England,PE6 9,12,363000,4
East England,PE7 0,12,231000,2
East England,PE7 1,12,196000,10
East England,PE7 2,12,277000,5
East England,PE7 3,12,273000,17
East England,PE7 8,12,245000,6
East England,PE8 4,12,296000,5
East England,PE8 5,12,635000,1
East England,PE8 6,12,677000,3
East England,PE9 1,12,250000,4
East England,PE9 2,12,780000,3
East England,PE9 3,12,648000,3
East England,PE9 4,12,584000,5
East Midlands,DE1 1,12,229000,1
East Midlands,DE1 2,12,164000,6
East Midlands,DE1 3,12,193000,7
East Midlands,DE11 0,12,234000,3
East Midlands,DE11 7,12,309000,11
East Midlands,DE11 8,12,209000,5
East Midlands,DE11 9,12,206000,7
East Midlands,DE12 6,12,212000,2
East Midlands,DE12 7,12,273000,7
East Midlands,DE12 8,12,115000,1
East Midlands,DE13 0,12,177000,10
East Midlands,DE13 7,12,415000,4
East Midlands,DE13 8,12,313000,5
East Midlands,DE13 9,12,238000,4
East Midlands,DE14 1,12,190000,3
East Midlands,DE14 2,12,143000,6
East Midlands,DE14 3,12,140000,9
East Midlands,DE15 0,12,232000,5
East Midlands,DE15 9,12,96000,1
East Midlands,DE21 2,12,227000,7
East Midlands,DE21 4,12,158000,6
East Midlands,DE21 5,12,524000,2
East Midlands,DE21 6,12,172000,6
East Midlands,DE21 7,12,222000,10
East Midlands,DE22 1,12,179000,3
East Midlands,DE22 2,12,593000,3
East Midlands,DE22 3,12,127000,14
East Midlands,DE22 4,12,190000,5
East Midlands,DE23 2,12,198000,2
East Midlands,DE23 3,12,240000,2
East Midlands,DE23 6,12,227000,8
East Midlands,DE23 8,12,128000,5
East Midlands,DE24 0,12,174000,13
East Midlands,DE24 1,12,165000,1
East Midlands,DE24 3,12,260000,6
East Midlands,DE24 5,12,238000,2
East Midlands,DE24 8,12,169000,7
East Midlands,DE24 9,12,148000,1
East Midlands,DE3 0,12,270000,9
East Midlands,DE3 9,12,310000,7
East Midlands,DE4 2,12,339000,5
East Midlands,DE4 3,12,172000,2
East Midlands,DE4 4,12,392000,7
East Midlands,DE4 5,12,296000,2
East Midlands,DE45 1,12,404000,6
East Midlands,DE5 3,12,191000,6
East Midlands,DE5 8,12,192000,2
East Midlands,DE5 9,12,184000,4
East Midlands,DE55 1,12,273000,3
East Midlands,DE55 2,12,185000,7
East Midlands,DE55 3,12,298000,1
East Midlands,DE55 4,12,142000,5
East Midlands,DE55 5,12,144000,7
East Midlands,DE55 6,12,192000,3
East Midlands,DE55 7,12,173000,3
East Midlands,DE56 0,12,281000,7
East Midlands,DE56 1,12,247000,10
East Midlands,DE56 2,12,334000,6
East Midlands,DE56 4,12,610000,2
East Midlands,DE6 1,12,342000,11
East Midlands,DE6 2,12,281000,3
East Midlands,DE6 3,12,476000,4
East Midlands,DE6 4,12,915000,1
East Midlands,DE65 5,12,201000,9
East Midlands,DE65 6,12,257000,10
East Midlands,DE7 4,12,211000,10
East Midlands,DE7 5,12,200000,4
East Midlands,DE7 6,12,296000,11
East Midlands,DE7 8,12,112000,7
East Midlands,DE72 2,12,292000,2
East Midlands,DE72 3,12,318000,13
East Midlands,DE73 5,12,233000,3
East Midlands,DE73 6,12,268000,2
East Midlands,DE73 8,12,474000,4
East Midlands,DE74 2,12,304000,8
East Midlands,DE75 7,12,209000,14
East Midlands,DN1 2,12,147000,3
East Midlands,DN1 3,12,150000,1
East Midlands,DN10 4,12,192000,3
East Midlands,DN10 5,12,295000,2
East Midlands,DN10 6,12,323000,8
East Midlands,DN11 0,12,171000,10
East Midlands,DN11 8,12,139000,6
East Midlands,DN12 1,12,100000,2
East Midlands,DN12 2,12,164000,3
East Midlands,DN12 3,12,132000,3
East Midlands,DN12 4,12,280000,1
East Midlands,DN14 0,12,308000,2
East Midlands,DN14 5,12,157000,3
East Midlands,DN14 6,12,220000,10
East Midlands,DN14 7,12,103000,3
East Midlands,DN14 9,12,223000,10
East Midlands,DN15 6,12,75000,4
East Midlands,DN15 7,12,115000,6
East Midlands,DN15 8,12,132000,6
East Midlands,DN15 9,12,159000,7
East Midlands,DN16 1,12,138000,7
East Midlands,DN16 2,12,191000,5
East Midlands,DN16 3,12,187000,17
East Midlands,DN17 1,12,134000,5
East Midlands,DN17 2,12,168000,4
East Midlands,DN17 3,12,232000,3
East Midlands,DN17 4,12,218000,3
East Midlands,DN18 5,12,127000,2
East Midlands,DN18 6,12,166000,2
East Midlands,DN19 7,12,275000,3
East Midlands,DN2 4,12,130000,2
East Midlands,DN2 5,12,162000,7
East Midlands,DN2 6,12,97000,2
