region,postcode_sector,month,avg_price,volume,delta
East England,PE1 1,7,450000,1,263
East England,PE1 2,7,232000,4,-2
East England,PE1 3,7,211000,11,21
East England,PE1 4,7,267000,5,38
East England,PE1 5,7,116000,4,-36
East England,PE10 0,7,292000,13,-2
East England,PE10 2,7,240000,2,-13
East England,PE10 9,7,265000,16,-1
East England,PE11 1,7,229000,12,17
East England,PE11 2,7,187000,12,25
East England,PE11 3,7,238000,17,-8
East England,PE11 4,7,225000,6,-13
East England,PE12 0,7,222000,2,-22
East England,PE12 6,7,344000,9,15
East England,PE12 7,7,245000,15,29
East England,PE12 8,7,267000,3,9
East England,PE12 9,7,227000,7,10
East England,PE13 1,7,101000,2,-58
East England,PE13 2,7,227000,10,1
East England,PE13 3,7,161000,7,-19
East England,PE13 4,7,241000,7,9
East England,PE13 5,7,258000,4,28
East England,PE14 0,7,260000,1,2
East England,PE14 7,7,342000,2,-8
East England,PE14 8,7,260000,6,10
East England,PE14 9,7,359000,3,6
East England,PE15 0,7,546000,2,123
East England,PE15 8,7,199000,11,-5
East England,PE15 9,7,265000,9,12
East England,PE16 6,7,251000,15,8
East England,PE19 1,7,381000,8,42
East England,PE19 2,7,257000,13,-18
East England,PE19 5,7,489000,4,46
East England,PE19 6,7,336000,9,-8
East England,PE19 7,7,292000,4,7
East England,PE19 8,7,369000,7,71
East England,PE2 5,7,227000,12,5
East England,PE2 6,7,219000,3,-22
East England,PE2 7,7,341000,3,-26
East England,PE2 8,7,250000,11,11
East England,PE2 9,7,224000,17,1
East England,PE20 1,7,233000,10,-20
East England,PE20 2,7,325000,1,29
East England,PE20 3,7,226000,6,-17
East England,PE21 0,7,184000,8,-10
East England,PE21 6,7,149000,6,16
East England,PE21 7,7,243000,6,11
East England,PE21 8,7,141000,17,-2
East England,PE21 9,7,232000,7,2
East England,PE22 0,7,268000,5,-11
East England,PE22 7,7,167000,3,-62
East England,PE22 8,7,180000,1,-30
East England,PE22 9,7,212000,7,2
East England,PE23 4,7,507000,3,182
East England,PE23 5,7,215000,8,-33
East England,PE24 4,7,221000,5,-19
East England,PE24 5,7,148000,2,-19
East England,PE25 1,7,184000,13,28
East England,PE25 2,7,185000,8,39
East England,PE25 3,7,186000,7,-8
East England,PE26 1,7,271000,5,8
East England,PE26 2,7,349000,9,16
East England,PE27 3,7,307000,10,13
East England,PE27 4,7,267000,3,-32
East England,PE27 5,7,222000,5,-17
East England,PE27 6,7,415000,3,27
East England,PE28 0,7,526000,10,37
East England,PE28 2,7,380000,8,30
East England,PE28 3,7,387000,10,4
East England,PE28 4,7,486000,8,56
East England,PE28 5,7,269000,3,-9
East England,PE28 9,7,482000,9,0
East England,PE29 1,7,283000,9,1
East England,PE29 2,7,349000,10,-6
East England,PE29 3,7,178000,3,1
East England,PE29 6,7,390000,4,17
East England,PE29 7,7,245000,3,-6
East England,PE3 6,7,440000,10,49
East England,PE3 7,7,195000,8,-7
East England,PE3 8,7,177000,8,8
East England,PE3 9,7,299000,10,1
East England,PE30 1,7,210000,1,84
East England,PE30 2,7,177000,6,16
East England,PE30 3,7,393000,11,43
East England,PE30 4,7,199000,8,-2
East England,PE30 5,7,178000,6,-7
East England,PE31 6,7,333000,8,23
East England,PE31 7,7,326000,8,9
East England,PE31 8,7,381000,6,-34
East England,PE32 1,7,336000,8,-15
East England,PE32 2,7,424000,10,29
East England,PE33 0,7,365000,6,35
East England,PE33 9,7,378000,4,57
East England,PE34 3,7,341000,2,42
East England,PE34 4,7,268000,7,-17
East England,PE36 5,7,404000,4,69
East England,PE36 6,7,538000,2,-46
East England,PE37 7,7,231000,6,2
East England,PE37 8,7,237000,6,-29
East England,PE38 0,7,127000,3,-58
East England,PE38 9,7,265000,14,10
East England,PE4 5,7,276000,7,60
East England,PE4 6,7,345000,14,45
East England,PE4 7,7,222000,15,2
East England,PE5 7,7,540000,1,48
East England,PE6 0,7,260000,10,-3
East England,PE6 7,7,376000,7,51
East England,PE6 8,7,306000,15,-14
East England,PE6 9,7,193000,1,-21
East England,PE7 1,7,246000,8,-6
East England,PE7 2,7,213000,3,21
East England,PE7 3,7,289000,16,-7
East England,PE7 8,7,243000,10,-9
East England,PE8 4,7,300000,9,6
East England,PE8 5,7,426000,2,-21
East England,PE8 6,7,322000,4,10
East England,PE9 1,7,344000,10,11
East England,PE9 2,7,396000,18,-15
East England,PE9 3,7,512000,5,2
East England,PE9 4,7,482000,7,34
East Midlands,DE1 1,7,151000,7,9
East Midlands,DE1 2,7,157000,2,-2
East Midlands,DE1 3,7,176000,2,-1
East Midlands,DE11 0,7,224000,18,7
East Midlands,DE11 7,7,240000,17,9
East Midlands,DE11 8,7,204000,9,-11
East Midlands,DE11 9,7,200000,16,3
East Midlands,DE12 6,7,281000,5,35
East Midlands,DE12 7,7,382000,10,32
East Midlands,DE12 8,7,402000,4,33
East Midlands,DE13 0,7,216000,22,6
East Midlands,DE13 7,7,350000,3,-14
East Midlands,DE13 8,7,322000,6,-24
East Midlands,DE13 9,7,430000,9,55
East Midlands,DE14 1,7,130000,2,-18
East Midlands,DE14 2,7,198000,14,49
East Midlands,DE14 3,7,185000,18,-14
