region,postcode_sector,month,avg_price,volume,delta
East Midlands,DE5 8,11,350000,5,63
East Midlands,DE5 9,11,179000,4,-39
East Midlands,DE55 1,11,156000,7,-39
East Midlands,DE55 2,11,186000,5,6
East Midlands,DE55 3,11,230000,7,-1
East Midlands,DE55 4,11,155000,6,-1
East Midlands,DE55 5,11,153000,7,-15
East Midlands,DE55 6,11,180000,1,-24
East Midlands,DE55 7,11,300000,6,-7
East Midlands,DE56 0,11,268000,8,-13
East Midlands,DE56 1,11,220000,12,9
East Midlands,DE56 2,11,382000,8,6
East Midlands,DE56 4,11,569000,9,25
East Midlands,DE6 1,11,249000,9,-11
East Midlands,DE6 2,11,191000,1,-53
East Midlands,DE6 3,11,350000,3,120
East Midlands,DE6 4,11,355000,1,1
East Midlands,DE6 5,11,590000,1,-13
East Midlands,DE65 5,11,242000,14,-9
East Midlands,DE65 6,11,423000,7,42
East Midlands,DE7 4,11,223000,15,18
East Midlands,DE7 5,11,184000,15,-11
East Midlands,DE7 6,11,360000,8,32
East Midlands,DE7 8,11,154000,13,-17
East Midlands,DE7 9,11,227000,6,1
East Midlands,DE72 2,11,452000,6,47
East Midlands,DE72 3,11,313000,13,16
East Midlands,DE73 5,11,280000,5,-11
East Midlands,DE73 6,11,304000,4,16
East Midlands,DE73 8,11,393000,7,63
East Midlands,DE74 2,11,197000,8,-30
East Midlands,DE75 7,11,168000,19,-15
East Midlands,DN1 2,11,88000,9,-30
East Midlands,DN1 3,11,85000,1,-6
East Midlands,DN10 4,11,292000,6,-26
East Midlands,DN10 6,11,293000,7,-18
East Midlands,DN11 0,11,181000,16,3
East Midlands,DN11 8,11,148000,9,-6
East Midlands,DN11 9,11,220000,7,-24
East Midlands,DN12 1,11,102000,8,-6
East Midlands,DN12 2,11,143000,3,-8
East Midlands,DN12 3,11,194000,3,10
East Midlands,DN12 4,11,104000,4,-4
East Midlands,DN14 0,11,226000,6,-5
East Midlands,DN14 5,11,136000,9,-1
East Midlands,DN14 6,11,123000,16,-20
East Midlands,DN14 7,11,330000,11,132
East Midlands,DN14 8,11,223000,3,9
East Midlands,DN14 9,11,249000,10,-22
East Midlands,DN15 0,11,395000,2,46
East Midlands,DN15 6,11,81000,8,23
East Midlands,DN15 7,11,103000,6,-18
East Midlands,DN15 8,11,157000,12,-6
East Midlands,DN15 9,11,196000,11,-7
East Midlands,DN16 1,11,121000,9,1
East Midlands,DN16 2,11,134000,11,-10
East Midlands,DN16 3,11,169000,16,-2
East Midlands,DN17 1,11,156000,12,-7
East Midlands,DN17 2,11,158000,11,-5
East Midlands,DN17 3,11,157000,7,-40
East Midlands,DN17 4,11,225000,5,-22
East Midlands,DN18 5,11,180000,9,-12
East Midlands,DN18 6,11,218000,5,31
East Midlands,DN19 7,11,214000,4,-22
East Midlands,DN2 4,11,131000,8,-18
East Midlands,DN2 5,11,135000,3,-27
East Midlands,DN2 6,11,130000,4,-6
East Midlands,DN20 0,11,265000,9,59
East Midlands,DN20 8,11,188000,6,11
East Midlands,DN20 9,11,320000,6,156
East Midlands,DN21 1,11,124000,18,-5
East Midlands,DN21 2,11,99000,8,6
East Midlands,DN21 3,11,254000,7,-6
East Midlands,DN21 4,11,245000,10,-41
East Midlands,DN21 5,11,178000,5,-19
East Midlands,DN22 0,11,322000,2,0
East Midlands,DN22 6,11,172000,11,-41
East Midlands,DN22 7,11,175000,15,-16
East Midlands,DN22 8,11,322000,9,29
East Midlands,DN3 1,11,184000,7,-20
East Midlands,DN3 2,11,187000,9,11
East Midlands,DN3 3,11,182000,12,-9
East Midlands,DN31 1,11,60000,4,-9
East Midlands,DN31 2,11,73000,10,-1
East Midlands,DN32 0,11,145000,9,9
East Midlands,DN32 7,11,66000,5,27
East Midlands,DN32 8,11,131000,6,8
East Midlands,DN32 9,11,86000,13,-9
East Midlands,DN33 1,11,84000,6,-1
East Midlands,DN33 2,11,244000,3,20
East Midlands,DN33 3,11,168000,5,-15
East Midlands,DN34 4,11,109000,10,3
East Midlands,DN34 5,11,148000,6,1
East Midlands,DN35 0,11,191000,11,-31
East Midlands,DN35 7,11,114000,20,21
East Midlands,DN35 8,11,148000,8,53
East Midlands,DN35 9,11,180000,6,-2
East Midlands,DN36 4,11,248000,5,21
East Midlands,DN36 5,11,317000,7,23
East Midlands,DN37 0,11,250000,8,-18
East Midlands,DN37 7,11,182000,4,-7
East Midlands,DN37 9,11,137000,7,38
East Midlands,DN38 6,11,352000,4,81
East Midlands,DN39 6,11,171000,4,-4
East Midlands,DN4 0,11,88000,10,-8
East Midlands,DN4 5,11,131000,4,-19
East Midlands,DN4 6,11,246000,13,-10
East Midlands,DN4 7,11,284000,8,1
East Midlands,DN4 8,11,91000,8,-43
East Midlands,DN4 9,11,187000,7,-1
East Midlands,DN40 1,11,103000,3,-20
East Midlands,DN40 2,11,180000,3,11
East Midlands,DN40 3,11,185000,4,13
East Midlands,DN41 7,11,278000,7,38
East Midlands,DN5 0,11,112000,2,-21
East Midlands,DN5 7,11,292000,8,19
East Midlands,DN5 8,11,167000,7,-20
East Midlands,DN5 9,11,118000,13,-11
East Midlands,DN6 0,11,86000,9,-42
East Midlands,DN6 7,11,182000,8,20
East Midlands,DN6 8,11,190000,5,19
East Midlands,DN6 9,11,176000,3,-23
East Midlands,DN7 4,11,148000,4,51
East Midlands,DN7 5,11,124000,4,-28
East Midlands,DN7 6,11,212000,8,-16
East Midlands,DN8 4,11,128000,10,14
East Midlands,DN8 5,11,210000,7,88
East Midlands,DN9 1,11,314000,5,30
East Midlands,DN9 2,11,301000,3,5
East Midlands,DN9 3,11,216000,5,-24
East Midlands,LE1 1,11,114000,2,-16
East Midlands,LE1 2,11,145000,1,3
East Midlands,LE1 4,11,141000,1,28
East Midlands,LE1 6,11,525000,2,232
East Midlands,LE10 0,11,225000,19,-3
East Midlands,LE10 1,11,340000,18,54
East Midlands,LE10 2,11,312000,11,2
East Midlands,LE11 1,11,159000,6,-11
East Midlands,LE11 2,11,284000,10,8
East Midlands,LE11 3,11,357000,11,4
East Midlands,LE11 4,11,205000,8,-27
East Midlands,LE11 5,11,183000,12,-4
East Midlands,LE12 5,11,445000,8,70
East Midlands,LE12 6,11,335000,7,-1
East Midlands,LE12 7,11,216000,16,-33
East Midlands,LE12 8,11,382000,13,3
East Midlands,LE12 9,11,180000,12,-26
East Midlands,LE13 0,11,199000,11,-28
East Midlands,LE13 1,11,251000,13,-13
East Midlands,LE14 2,11,392000,2,-16
East Midlands,LE14 3,11,352000,7,6
East Midlands,LE14 4,11,465000,11,62
East Midlands,LE15 6,11,291000,11,-27
East Midlands,LE15 7,11,524000,9,66
East Midlands,LE15 8,11,553000,6,7
East Midlands,LE15 9,11,416000,8,-33
East Midlands,LE16 7,11,521000,13,42
East Midlands,LE16 8,11,560000,14,38
East Midlands,LE16 9,11,376000,17,41
East Midlands,LE17 4,11,271000,13,-33
East Midlands,LE17 5,11,248000,2,-56
East Midlands,LE17 6,11,414000,2,67
East Midlands,LE18 1,11,202000,7,-33
East Midlands,LE18 2,11,269000,7,6
East Midlands,LE18 3,11,258000,3,-48
East Midlands,LE18 4,11,190000,6,-16
East Midlands,LE19 2,11,338000,3,33
East Midlands,LE19 3,11,186000,2,-28
East Midlands,LE19 4,11,329000,4,21
East Midlands,LE2 0,11,251000,3,27
East Midlands,LE2 1,11,301000,12,-6
East Midlands,LE2 2,11,420000,5,38
East Midlands,LE2 3,11,388000,10,2
East Midlands,LE2 4,11,268000,7,-30
East Midlands,LE2 5,11,303000,8,0
East Midlands,LE2 6,11,240000,6,-6
East Midlands,LE2 7,11,209000,4,3
East Midlands,LE2 8,11,199000,11,-33
East Midlands,LE2 9,11,150000,4,-49
East Midlands,LE3 0,11,205000,11,14
East Midlands,LE3 1,11,227000,3,23
East Midlands,LE3 2,11,215000,3,-13
East Midlands,LE3 3,11,272000,13,-5
East Midlands,LE3 5,11,158000,3,-13
East Midlands,LE3 6,11,168000,8,-10
East Midlands,LE3 8,11,341000,9,17
East Midlands,LE3 9,11,194000,14,9
East Midlands,LE4 0,11,257000,9,4
East Midlands,LE4 1,11,258000,4,21
East Midlands,LE4 2,11,158000,2,-19
East Midlands,LE4 3,11,266000,3,-11
East Midlands,LE4 4,11,261000,5,-17
East Midlands,LE4 5,11,253000,6,-24
East Midlands,LE4 6,11,230000,6,-22
East Midlands,LE4 7,11,158000,2,-24
East Midlands,LE4 8,11,230000,12,0
East Midlands,LE4 9,11,246000,10,-4
East Midlands,LE5 0,11,200000,5,-7
East Midlands,LE5 1,11,249000,7,-6
East Midlands,LE5 2,11,233000,7,-9
East Midlands,LE5 3,11,224000,5,-19
East Midlands,LE5 4,11,234000,3,-19
East Midlands,LE5 5,11,261000,3,-13
East Midlands,LE5 6,11,319000,2,-1
East Midlands,LE6 0,11,328000,12,-63
