region,postcode_sector,month,avg_price,volume,delta
East England,PE1 1,10,180000,2,-21
East England,PE1 2,10,139000,4,-24
East England,PE1 3,10,191000,6,-1
East England,PE1 4,10,200000,8,-10
East England,PE1 5,10,180000,11,-15
East England,PE10 0,10,383000,8,64
East England,PE10 9,10,235000,13,-9
East England,PE11 1,10,156000,6,-28
East England,PE11 2,10,213000,13,-7
East England,PE11 3,10,284000,15,17
East England,PE11 4,10,227000,8,-29
East England,PE12 0,10,272000,10,-33
East England,PE12 6,10,284000,13,-11
East England,PE12 7,10,190000,12,-12
East England,PE12 8,10,266000,3,2
East England,PE12 9,10,229000,15,6
East England,PE13 1,10,121000,4,-12
East England,PE13 2,10,196000,8,11
East England,PE13 3,10,177000,11,-12
East England,PE13 4,10,342000,7,36
East England,PE13 5,10,328000,3,-4
East England,PE14 0,10,231000,5,-10
East England,PE14 7,10,320000,11,5
East England,PE14 8,10,249000,3,-16
East England,PE15 0,10,288000,14,-4
East England,PE15 8,10,244000,15,12
East England,PE15 9,10,278000,5,7
East England,PE16 6,10,206000,9,-17
East England,PE19 1,10,278000,10,68
East England,PE19 2,10,289000,19,-9
East England,PE19 5,10,325000,4,1
East England,PE19 6,10,329000,10,4
East England,PE19 7,10,132000,1,-72
East England,PE19 8,10,356000,8,-19
East England,PE2 5,10,235000,17,-10
East England,PE2 6,10,297000,3,-19
East England,PE2 7,10,296000,5,42
East England,PE2 8,10,229000,15,2
East England,PE2 9,10,185000,10,-49
East England,PE20 1,10,296000,7,26
East England,PE20 2,10,170000,3,-25
East England,PE20 3,10,216000,6,-13
East England,PE21 0,10,192000,13,7
East England,PE21 7,10,260000,11,1
East England,PE21 8,10,148000,15,11
East England,PE21 9,10,216000,13,-7
East England,PE22 0,10,170000,4,-38
East England,PE22 7,10,284000,4,-4
East England,PE22 8,10,261000,3,8
East England,PE22 9,10,266000,2,-5
East England,PE23 4,10,775000,2,256
East England,PE23 5,10,213000,7,-18
East England,PE24 4,10,186000,5,-7
East England,PE24 5,10,195000,9,11
East England,PE25 1,10,174000,8,-45
East England,PE25 2,10,210000,7,42
East England,PE25 3,10,155000,4,-27
East England,PE26 1,10,227000,12,-9
East England,PE26 2,10,308000,5,-5
East England,PE27 3,10,332000,5,8
East England,PE27 4,10,150000,1,-40
East England,PE27 5,10,331000,2,12
East England,PE27 6,10,390000,11,18
East England,PE28 0,10,212000,2,-64
East England,PE28 2,10,354000,9,25
East England,PE28 3,10,343000,8,12
East England,PE28 4,10,383000,13,-6
East England,PE28 5,10,434000,8,20
East England,PE28 9,10,458000,7,57
East England,PE29 1,10,246000,7,-22
East England,PE29 2,10,321000,6,11
East England,PE29 3,10,141000,3,-50
East England,PE29 6,10,287000,4,13
East England,PE29 7,10,230000,1,-4
East England,PE3 6,10,363000,3,-3
East England,PE3 7,10,163000,5,-19
East England,PE3 8,10,179000,9,-5
East England,PE3 9,10,232000,10,-24
East England,PE30 1,10,167000,4,27
East England,PE30 2,10,155000,7,3
East England,PE30 3,10,284000,12,-2
East England,PE30 4,10,202000,11,4
East England,PE30 5,10,175000,13,9
East England,PE31 6,10,372000,7,29
East England,PE31 7,10,327000,12,24
East England,PE31 8,10,761000,7,-21
East England,PE32 1,10,320000,8,2
East England,PE32 2,10,449000,6,47
East England,PE33 0,10,251000,8,-10
East England,PE33 9,10,348000,6,57
East England,PE34 3,10,286000,6,-62
East England,PE34 4,10,232000,8,-35
East England,PE36 5,10,288000,5,2
East England,PE36 6,10,508000,6,0
East England,PE37 7,10,207000,8,-7
East England,PE37 8,10,266000,6,-5
East England,PE38 0,10,301000,6,54
East England,PE38 9,10,279000,19,19
East England,PE4 5,10,199000,4,-33
East England,PE4 6,10,226000,13,-1
East England,PE4 7,10,240000,14,-2
East England,PE5 7,10,402000,2,-73
East England,PE6 0,10,332000,6,54
East England,PE6 7,10,352000,16,36
East England,PE6 8,10,271000,15,-16
East England,PE6 9,10,301000,4,-22
East England,PE7 0,10,278000,1,7
East England,PE7 1,10,227000,16,-13
East England,PE7 2,10,242000,5,-13
East England,PE7 3,10,274000,9,-7
East England,PE7 8,10,256000,22,-1
East England,PE8 4,10,273000,7,-54
East England,PE8 5,10,468000,2,-11
East England,PE8 6,10,335000,8,3
East England,PE9 1,10,393000,12,15
East England,PE9 2,10,595000,13,75
East England,PE9 3,10,739000,5,98
East England,PE9 4,10,467000,9,44
East Midlands,DE1 1,10,140000,6,-5
East Midlands,DE1 2,10,153000,5,-18
East Midlands,DE1 3,10,170000,7,-45
East Midlands,DE11 0,10,174000,15,-11
East Midlands,DE11 7,10,186000,7,-2
East Midlands,DE11 8,10,249000,10,19
East Midlands,DE11 9,10,214000,12,16
East Midlands,DE12 6,10,208000,9,-23
East Midlands,DE12 7,10,285000,15,36
East Midlands,DE12 8,10,379000,3,113
East Midlands,DE13 0,10,188000,15,-28
East Midlands,DE13 7,10,400000,3,28
East Midlands,DE13 8,10,523000,8,59
East Midlands,DE13 9,10,334000,11,11
East Midlands,DE14 1,10,132000,5,-8
East Midlands,DE14 2,10,185000,10,17
East Midlands,DE14 3,10,170000,30,-8
East Midlands,DE15 0,10,298000,4,2
East Midlands,DE15 9,10,204000,13,5
East Midlands,DE21 2,10,271000,19,14
East Midlands,DE21 4,10,172000,12,-7
East Midlands,DE21 5,10,375000,3,-15
East Midlands,DE21 6,10,176000,19,-5
East Midlands,DE21 7,10,223000,13,25
East Midlands,DE22 1,10,362000,8,44
East Midlands,DE22 2,10,282000,12,-22
East Midlands,DE22 3,10,147000,19,3
