month,region,property_type,avg_price,volume
6,East Midlands,D,368000,1561
6,East Midlands,F,148000,413
6,East Midlands,S,207000,2084
6,East Midlands,T,163000,1687
6,East of England,D,603000,1392
6,East of England,F,217000,838
6,East of England,S,379000,1421
6,East of England,T,324000,1385
6,Greater London,D,1485000,653
6,Greater London,F,575000,3435
6,Greater London,S,789000,1332
6,Greater London,T,779000,2281
6,North East,D,362000,1219
6,North East,F,135000,696
6,North East,S,203000,2147
6,North East,T,151000,2380
6,North West,D,410000,1600
6,North West,F,155000,1006
6,North West,S,228000,2993
6,North West,T,157000,3527
6,South East,D,687000,2100
6,South East,F,238000,1578
6,South East,S,414000,2085
6,South East,T,343000,2148
6,South West,D,535000,1835
6,South West,F,218000,1089
6,South West,S,330000,1543
6,South West,T,288000,1868
6,Wales,D,360000,852
6,Wales,F,154000,287
6,Wales,S,222000,974
6,Wales,T,165000,1198
6,West Midlands,D,455000,1406
6,West Midlands,F,150000,659
6,West Midlands,S,254000,2013
6,West Midlands,T,201000,1856
7,East England,D,371000,371
7,East England,F,141000,63
7,East England,S,241000,270
7,East England,T,210000,164
7,East Midlands,D,361000,1464
7,East Midlands,F,141000,326
7,East Midlands,S,213000,1946
7,East Midlands,T,167000,1633
7,East of England,D,592000,1335
7,East of England,F,222000,778
7,East of England,S,393000,1416
7,East of England,T,319000,1301
7,Greater London,D,1192000,576
7,Greater London,F,557000,3379
7,Greater London,S,733000,1444
7,Greater London,T,784000,2337
7,North East,D,398000,1161
7,North East,F,139000,587
7,North East,S,212000,1949
7,North East,T,152000,2141
7,North West,D,423000,1497
7,North West,F,150000,961
7,North West,S,239000,2906
7,North West,T,157000,3348
7,South East,D,737000,2045
7,South East,F,235000,1574
7,South East,S,422000,2053
7,South East,T,352000,2104
7,South West,D,540000,1751
7,South West,F,222000,1018
7,South West,S,335000,1466
7,South West,T,296000,1894
7,Wales,D,370000,749
7,Wales,F,150000,254
7,Wales,S,220000,891
7,Wales,T,173000,1144
7,West Midlands,D,450000,1276
7,West Midlands,F,153000,599
7,West Midlands,S,252000,1890
7,West Midlands,T,208000,1658
8,East England,D,371000,447
8,East England,F,140000,65
8,East England,S,243000,279
8,East England,T,216000,210
8,East Midlands,D,382000,1624
8,East Midlands,F,139000,417
8,East Midlands,S,213000,2159
8,East Midlands,T,165000,1611
8,East of England,D,595000,1519
8,East of England,F,222000,782
8,East of England,S,396000,1527
8,East of England,T,321000,1399
8,Greater London,D,1181000,685
8,Greater London,F,523000,3747
8,Greater London,S,783000,1566
8,Greater London,T,760000,2594
8,North East,D,397000,1283
8,North East,F,144000,645
8,North East,S,219000,2052
8,North East,T,164000,2124
8,North West,D,420000,1520
8,North West,F,156000,1034
8,North West,S,243000,3092
8,North West,T,161000,3471
8,South East,D,728000,2353
8,South East,F,238000,1736
8,South East,S,430000,2285
8,South East,T,351000,2295
8,South West,D,570000,2048
8,South West,F,226000,1165
8,South West,S,347000,1712
8,South West,T,297000,1986
8,Wales,D,368000,830
8,Wales,F,146000,237
8,Wales,S,226000,970
8,Wales,T,170000,1227
8,West Midlands,D,466000,1417
8,West Midlands,F,149000,658
8,West Midlands,S,256000,2153
8,West Midlands,T,208000,1751
9,East England,D,367000,394
9,East England,F,146000,78
9,East England,S,248000,265
9,East England,T,201000,195
9,East Midlands,D,370000,1519
9,East Midlands,F,146000,350
9,East Midlands,S,209000,1861
9,East Midlands,T,164000,1469
